,Unnamed: 0,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,name
102,2,1628470,2019-20,0,1610612743,DEN,28.0,13,2,187.0,14,41,0.341,4,20,0.2,4,9,0.444,9,26,35,15,5,11,5,26,36,Torrey Craig
103,11,203109,2019-20,0,1610612763,MEM,29.0,17,17,526.0,63,149,0.423,40,109,0.36700000000000005,22,32,0.688,11,87,98,47,16,7,26,37,188,Jae Crowder
104,0,1629633,2019-20,0,1610612750,MIN,20.0,18,8,425.0,62,171,0.363,20,71,0.282,16,38,0.42100000000000004,18,36,54,42,17,9,26,40,160,Jarrett Culver
105,7,203552,2019-20,0,1610612742,DAL,29.0,15,9,314.0,40,91,0.44,21,56,0.375,17,19,0.895,6,18,24,24,9,3,12,25,118,Seth Curry
106,10,201939,2019-20,0,1610612744,GSW,31.0,4,4,112.0,27,66,0.409,9,37,0.243,18,18,1.0,4,16,20,26,5,2,15,10,81,Stephen Curry
107,9,203584,2019-20,0,1610612747,LAL,28.0,13,0,198.0,25,68,0.368,16,50,0.32,3,3,1.0,3,14,17,6,4,1,4,8,69,Troy Daniels
108,7,203076,2019-20,0,1610612747,LAL,26.0,17,17,593.0,154,323,0.47700000000000004,20,60,0.33299999999999996,115,131,0.878,43,110,153,61,27,48,45,42,443,Anthony Davis
109,11,202334,2019-20,0,1610612762,UTA,30.0,6,0,73.0,4,10,0.4,0,0,0.0,2,4,0.5,9,22,31,1,1,3,5,14,10,Ed Davis
110,0,1629056,2019-20,0,1610612761,TOR,22.0,17,0,264.0,42,86,0.488,21,48,0.43799999999999994,11,11,1.0,10,39,49,35,7,4,10,34,116,Terence Davis
111,10,201942,2019-20,0,1610612759,SAS,30.0,19,19,646.0,162,305,0.531,0,4,0.0,95,117,0.812,9,93,102,88,16,11,49,56,419,DeMar DeRozan
112,9,203473,2019-20,0,1610612758,SAC,30.0,17,4,260.0,38,91,0.418,10,42,0.23800000000000002,11,13,0.846,24,48,72,8,7,8,26,43,97,Dewayne Dedmon
113,8,203521,2019-20,0,1610612739,CLE,29.0,16,0,225.0,13,50,0.26,3,30,0.1,12,13,0.9229999999999999,4,20,24,37,6,1,15,27,41,Matthew Dellavedova
114,1,1628978,2019-20,0,1610612749,MIL,22.0,15,8,311.0,49,115,0.426,18,55,0.327,9,12,0.75,15,47,62,24,21,2,15,24,125,Donte DiVincenzo
115,3,1627767,2019-20,0,1610612756,PHX,23.0,12,0,121.0,31,38,0.816,0,0,0.0,8,9,0.889,9,25,34,6,0,4,6,12,70,Cheick Diallo
116,1,1628977,2019-20,0,1610612760,OKC,21.0,12,1,256.0,46,92,0.5,2,13,0.154,11,18,0.611,14,32,46,10,18,4,14,29,105,Hamidou Diallo
117,6,203476,2019-20,0,1610612750,MIN,29.0,14,2,177.0,30,64,0.469,7,21,0.33299999999999996,12,16,0.75,13,48,61,19,10,15,8,18,79,Gorgui Dieng
118,5,203915,2019-20,0,1610612751,BKN,26.0,19,8,548.0,122,292,0.418,36,114,0.316,104,120,0.867,3,46,49,113,15,11,45,66,384,Spencer Dinwiddie
119,1,1629029,2019-20,0,1610612742,DAL,20.0,17,17,577.0,165,340,0.485,52,158,0.32899999999999996,130,158,0.823,25,145,170,162,25,3,79,44,512,Luka Doncic
120,2,1628422,2019-20,0,1610612752,NYK,25.0,14,0,198.0,27,71,0.38,10,38,0.263,5,7,0.7140000000000001,2,21,23,13,6,3,7,10,69,Damyean Dotson
121,0,1629635,2019-20,0,1610612765,DET,18.0,1,0,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,Sekou Doumbouya
122,15,201609,2019-20,0,1610612748,MIA,33.0,16,1,460.0,79,177,0.446,35,86,0.40700000000000003,50,71,0.7040000000000001,4,47,51,80,11,4,45,26,243,Goran Dragic
123,7,203083,2019-20,0,1610612765,DET,26.0,18,18,618.0,133,245,0.5429999999999999,0,10,0.0,51,77,0.662,79,227,306,57,28,31,71,76,317,Andre Drummond
124,14,201162,2019-20,0,1610612747,LAL,34.0,10,0,72.0,4,9,0.444,4,6,0.667,0,0,0.0,0,8,8,6,1,1,1,8,12,Jared Dudley
125,3,1627739,2019-20,0,1610612741,CHI,25.0,19,0,381.0,50,121,0.413,6,38,0.158,9,13,0.6920000000000001,8,46,54,59,37,6,15,62,115,Kris Dunn
126,0,1629035,2019-20,0,1610612738,BOS,21.0,16,0,186.0,23,73,0.315,14,43,0.326,9,11,0.818,5,26,31,16,6,2,8,15,69,Carsen Edwards
127,5,1627740,2019-20,0,1610612751,BKN,22.0,1,0,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,Henry Ellenson
